ProcaMass	ProcaSpin	ModeNumber	Overtone	BlackHoleSpin	Frequency	AngularEigenvalue	Einf	Normalization	TotalEnergy	FinalMass	FinalSpin	Zinf
0.16	-1.	1.	0.	0.9	0.15782224959615995 + 1.6587608734676024*^-6*j	-0.18564482778304991 - 9.643836032530673*^-7*j	7.784294408412763e-9	0.009405371885513134	0.06775045579098535	0.9322495442090146	0.5416206935013065	-0.00007535008331242537 - 0.00006378358802073308*j
0.17	-1.	1.	0.	0.9	0.1673688563927846 + 2.407914681080123*^-6*j	-0.19911911697180487 - 1.4477250267935234*^-6*j	7.137315427852082e-9	0.010963748430670996	0.06795629491892952	0.9320437050810705	0.5686310228463156	-0.00004601966326701048 - 0.00008906128493648122*j
0.18	-1.	1.	0.	0.9	0.1768528857300668 + 3.4121463583268693*^-6*j	-0.21283000361555546 - 2.1212225179835094*^-6*j	1.0302069130074274e-8	0.01271184552034032	0.06774248073828326	0.9322575192617167	0.5948145474324797	-5.336744791416743*^-6 - 0.00012715315066449858*j
0.19	-1.	1.	0.	0.9	0.18626923903430487 + 4.730884067314953*^-6*j	-0.22677876189429913 - 3.040509291795463*^-6*j	1.477563448143833e-8	0.014657704653361367	0.06710779949117449	0.9328922005088255	0.620170530259711	-0.00002609789536548498 - 0.00015839173576653707*j
0.2	-1.	1.	0.	0.9	0.19561257330421608 + 6.429495401599226*^-6*j	-0.24096615602110505 - 4.271249375042392*^-6*j	1.8472064465008903e-6	0.016254975793525053	0.06604898593660058	0.9339510140633994	0.644698889411954	-0.001452066539480277 + 0.0012018189250751381*j
0.21	-1.	1.	0.	0.9	0.2048772829098097 + 8.576994282519259*^-6*j	-0.255392370036544 - 5.8885973330525425*^-6*j	4.328213667110466e-8	0.019090968673112774	0.0645606267849533	0.9354393732150467	0.6684002078502165	0.00007161514148136745 - 0.0002935835918605554*j
0.22	-1.	1.	0.	0.9	0.21405747876366962 + 0.000011241840285463257*j	-0.2700569295422629 - 7.975043702534304*^-6*j	8.0263962993899e-8	0.02148518821044514	0.06263502215490413	0.9373649778450959	0.6912757398819065	0.00012381706766742128 - 0.0004117436995638034*j
0.23	-1.	1.	0.	0.9	0.2231469639960356 + 0.000014484731032167188*j	-0.2849586140562544 - 0.0000106154921715316*j	8.366924573238456e-8	0.023882869620403403	0.06026199891737429	0.9397380010826257	0.7133274128378095	0.00026125039681725324 - 0.00037572330002677784*j
0.24	-1.	1.	0.	0.9	0.232139205133701 + 0.000018346674913332876*j	-0.300095358402856 - 0.000013887702856550233*j	1.1456009119599572e-7	0.02616964767785096	0.05742866767325931	0.9425713323267407	0.7345578225184206	0.00035197932239284776 - 0.00043176812684347275*j
0.25	-1.	1.	0.	0.9	0.2410272977611058 + 0.00002282982540754552*j	-0.31546414133283757 - 0.000017845213456715014*j	1.1893868866301039e-7	0.02823438475068822	0.054119112316447275	0.9458808876835527	0.7549702212867484	0.00044216594420341164 - 0.0003896226596956144*j
0.26	-1.	1.	0.	0.9	0.24980392578316699 + 0.000027867121942541825*j	-0.3310608594746998 - 0.000022488099787508964*j	1.3752787722312726e-7	0.02999325853984677	0.05031399728192456	0.9496860027180755	0.7745684983206127	0.000564797931032031 - 0.0003352348585551208*j
0.27	-1.	1.	0.	0.9	0.25846131512936554 + 0.00003327658233082112*j	-0.3468801859747393 - 0.000027715833356642833*j	1.1491247985073494e-7	0.03139790133522957	0.04599007135326404	0.954009928646736	0.7933571554112179	0.0005723795737939197 - 0.00024133005372070946*j
0.28	-1.	1.	0.	0.9	0.2669911814849822 + 0.00003869044878440043*j	-0.36291541230926955 - 0.00003325059420977605*j	9.195745959742771e-8	0.032417816194969376	0.04111953916221457	0.9588804608377854	0.8113412783732407	0.000564085506356487 - 0.00010631992726438613*j
0.29	-1.	1.	0.	0.9	0.2753846793961056 + 0.00004345379924684189*j	-0.37915827862269547 - 0.0000385209785124403*j	7.349164472892134e-8	0.03299672712924507	0.03566925472044498	0.964330745279555	0.8285265196584773	0.000528858488307741 - 0.000021368208153962636*j
0.3	-1.	1.	0.	0.9	0.28363236035996287 + 0.00004647996908679003*j	-0.39559879993460506 - 0.00004248790438432308*j	9.661794431860508e-10	0.032982662129669084	0.029599668556455565	0.9704003314435444	0.8449191044037416	0.0000554287694175089 + 0.000028889681476717187*j
0.31	-1.	1.	0.	0.9	0.2917241567268734 + 0.00004605440685055809*j	-0.4122251062385246 - 0.00004339542393019531*j	2.638531697184054e-8	0.0320083511609566	0.02286341730696901	0.9771365826930309	0.8605258858826742	0.000323443396255904 + 0.00009085131809585219*j
0.315	-1.	1.	0.	0.9	0.2957082900491054 + 0.00004377871411901926*j	-0.42060367417391503 - 0.00004187543648341355*j	1.8530417831751505e-8	0.03092845473038079	0.019227889801989077	0.9807721101980109	0.8680369461028646	0.0002677881661146726 + 0.00009868032326313306*j
0.32	-1.	1.	0.	0.9	0.2996494177407065 + 0.000039582187592987376*j	-0.4290233280043318 - 0.00003843043559849321*j	1.1789110684969959e-8	0.02921938579287587	0.015403372129843395	0.9845966278701566	0.8753544861743862	0.0002103558788289782 + 0.00009464939197412935*j
0.325	-1.	1.	0.	0.9	0.3035461373828724 + 0.000032953182316092285*j	-0.437482017721678 - 0.000032471752273511626*j	6.082404651509508e-9	0.026552731010122167	0.01138073993467314	0.9886192600653269	0.8824796224592677	0.00014703243636934404 + 0.00008094420723725495*j
0.33	-1.	1.	0.	0.9	0.3073970319548845 + 0.00002328551428020482*j	-0.44597757321219234 - 0.00002328513714669732*j	2.254687504624958e-9	0.0222777324744448	0.007149840469230241	0.9928501595307697	0.8894135609027177	0.00008687795191702406 + 0.00005622619558223021*j
0.335	-1.	1.	0.	0.9	0.3112006812315959 + 9.868370443460777*^-6*j	-0.45450771295813785 - 0.000010013198077361813*j	3.0924299390321823e-10	0.0144994496038642	0.0026993197531102035	0.9973006802468898	0.8961576145299499	0.000030638550737894634 + 0.000023804944109779803*j
